yearID,W,L,HR,SO,ERA,name
2017,75,87,234,1491,4.67,Oakland Athletics
2017,66,96,174,1417,4.55,Philadelphia Phillies
2017,75,87,151,1213,4.22,Pittsburgh Pirates
2017,71,91,189,1499,4.67,San Diego Padres
2017,78,84,200,1267,4.46,Seattle Mariners
2017,64,98,128,1204,4.5,San Francisco Giants
2017,83,79,196,1348,4.01,St. Louis Cardinals
2017,80,82,228,1538,3.97,Tampa Bay Rays
2017,78,84,237,1493,4.66,Texas Rangers
2017,76,86,222,1327,4.42,Toronto Blue Jays
2017,97,65,215,1327,3.88,Washington Nationals
2018,82,80,176,1460,3.72,Arizona Diamondbacks
2018,90,72,175,1290,3.75,Atlanta Braves
2018,47,115,188,1412,5.18,Baltimore Orioles
2018,108,54,208,1253,3.75,Boston Red Sox
2018,62,100,182,1594,4.84,Chicago White Sox
2018,95,68,167,1388,3.65,Chicago Cubs
2018,67,95,172,1376,4.63,Cincinnati Reds
2018,91,71,216,1189,3.77,Cleveland Indians
2018,91,72,210,1397,4.33,Colorado Rockies
2018,64,98,135,1341,4.58,Detroit Tigers
2018,103,59,205,1197,3.11,Houston Astros
2018,58,104,155,1310,4.94,Kansas City Royals
2018,80,82,214,1300,4.15,Los Angeles Angels of Anaheim
2018,92,71,235,1436,3.38,Los Angeles Dodgers
2018,63,98,128,1384,4.76,Miami Marlins
2018,96,67,218,1458,3.73,Milwaukee Brewers
2018,78,84,166,1328,4.5,Minnesota Twins
2018,100,62,267,1421,3.78,New York Yankees
2018,77,85,170,1404,4.07,New York Mets
2018,97,65,227,1381,3.81,Oakland Athletics
2018,80,82,186,1520,4.14,Philadelphia Phillies
2018,82,79,157,1229,4,Pittsburgh Pirates
2018,66,96,162,1523,4.4,San Diego Padres
2018,89,73,176,1221,4.13,Seattle Mariners
2018,73,89,133,1467,3.95,San Francisco Giants
2018,88,74,205,1380,3.85,St. Louis Cardinals
2018,90,72,150,1388,3.74,Tampa Bay Rays
2018,67,95,194,1484,4.92,Texas Rangers
2018,73,89,217,1387,4.85,Toronto Blue Jays
2018,82,80,191,1289,4.04,Washington Nationals
