yearid,lgid,teamid,franchid,divid,rank,wswin,name,park,attendance,teamidbr
1878,NL,CN1,CNR,,2,,Cincinnati Reds,Avenue Grounds,,CIN
1878,NL,IN1,IBL,,5,,Indianapolis Blues,South Street Park,,IND
1878,NL,ML2,MLG,,6,,Milwaukee Grays,Eclipse Park II,,MLG
1878,NL,PRO,PRO,,3,,Providence Grays,Messer Street Grounds,,PRO
1879,NL,BFN,BUF,,3,,Buffalo Bisons,Riverside Park,,BUF
1879,NL,BSN,ATL,,2,,Boston Red Caps,South End Grounds I,,BSN
1879,NL,CHN,CHC,,4,,Chicago White Stockings,Lake Front Park I,,CHC
1879,NL,CL2,CBL,,6,,Cleveland Blues,Kennard Street Park,,CLV
1879,NL,CN1,CNR,,5,,Cincinnati Reds,Avenue Grounds,,CIN
1879,NL,PRO,PRO,,1,,Providence Grays,Messer Street Grounds,,PRO
1879,NL,SR1,SYR,,7,,Syracuse Stars,Newell Park,,SYR
1879,NL,TRN,TRT,,8,,Troy Trojans,Putnam Grounds,,TRO
1880,NL,BFN,BUF,,7,,Buffalo Bisons,Riverside Park,,BUF
1880,NL,BSN,ATL,,6,,Boston Red Caps,South End Grounds I,,BSN
1880,NL,CHN,CHC,,1,,Chicago White Stockings,Lake Front Park I,,CHC
1880,NL,CL2,CBL,,3,,Cleveland Blues,Kennard Street Park,,CLV
1880,NL,CN1,CNR,,8,,Cincinnati Reds,Bank Street Grounds,,CIN
1880,NL,PRO,PRO,,2,,Providence Grays,Messer Street Grounds,,PRO
1880,NL,TRN,TRT,,4,,Troy Trojans,Haymakers' Grounds,,TRO
1880,NL,WOR,WOR,,5,,Worcester Ruby Legs,Worcester Driving Park Grounds,,WOR
1881,NL,BFN,BUF,,3,,Buffalo Bisons,Riverside Park,,BUF
1881,NL,BSN,ATL,,6,,Boston Red Caps,South End Grounds I,,BSN
1881,NL,CHN,CHC,,1,,Chicago White Stockings,Lake Front Park I,,CHC
1881,NL,CL2,CBL,,7,,Cleveland Blues,Kennard Street Park,,CLV
1881,NL,DTN,DTN,,4,,Detroit Wolverines,Recreation Park,,DTN
1881,NL,PRO,PRO,,2,,Providence Grays,Messer Street Grounds,,PRO
1881,NL,TRN,TRT,,5,,Troy Trojans,Haymakers' Grounds,,TRO
1881,NL,WOR,WOR,,8,,Worcester Ruby Legs,Worcester Driving Park Grounds,,WOR
1882,NL,BFN,BUF,,3,,Buffalo Bisons,Riverside Park,,BUF
1882,AA,BL2,BLO,,6,,Baltimore Orioles,Newington Park,,BAL
1882,NL,BSN,ATL,,3,,Boston Red Caps,South End Grounds I,,BSN
1882,NL,CHN,CHC,,1,,Chicago White Stockings,Lake Front Park I/Lake Front Park II,,CHC
1882,NL,CL2,CBL,,5,,Cleveland Blues,Kennard Street Park,,CLV
1882,AA,CN2,CIN,,1,,Cincinnati Red Stockings,Bank Street Grounds,,CIN
1882,NL,DTN,DTN,,5,,Detroit Wolverines,Recreation Park,,DTN
1882,AA,LS2,LOU,,2,,Louisville Eclipse,Eclipse Park I,,LOU
1882,AA,PH4,PHA,,3,,Philadelphia Athletics,Oakdale Park,,PHA
1882,NL,PRO,PRO,,2,,Providence Grays,Messer Street Grounds,,PRO
1882,AA,PT1,PIT,,4,,Pittsburg Alleghenys,Exposition Park I,,PIT
1882,AA,SL4,STL,,5,,St. Louis Brown Stockings,Sportsman's Park I,,STL
1882,NL,TRN,TRT,,7,,Troy Trojans,Troy Ball Club Grounds,,TRO
1882,NL,WOR,WOR,,8,,Worcester Ruby Legs,Worcester Driving Park Grounds,,WOR
1883,NL,BFN,BUF,,5,,Buffalo Bisons,Riverside Park,,BUF
1883,AA,BL2,BLO,,8,,Baltimore Orioles,Oriole Park,,BAL
1883,NL,BSN,ATL,,1,,Boston Beaneaters,South End Grounds I,,BSN
1883,NL,CHN,CHC,,2,,Chicago White Stockings,Lake Front Park II,,CHC
1883,NL,CL2,CBL,,4,,Cleveland Blues,Kennard Street Park,,CLV
1883,AA,CL5,CBK,,6,,Columbus Buckeyes,Recreation Park I,,COL
1883,AA,CN2,CIN,,3,,Cincinnati Red Stockings,Bank Street Grounds,,CIN
1883,NL,DTN,DTN,,7,,Detroit Wolverines,Recreation Park,,DTN
1883,AA,LS2,LOU,,5,,Louisville Eclipse,Eclipse Park I,,LOU
1883,NL,NY1,SFG,,6,,New York Gothams,Polo Grounds I,,NYG
1883,AA,NY4,NYP,,4,,New York Metropolitans,Polo Grounds I West Diamond,,NYP
1883,AA,PH4,PHA,,1,,Philadelphia Athletics,Jefferson Street Grounds,,PHA
1883,NL,PHI,PHI,,8,,Philadelphia Quakers,Recreation Park,,PHI
1883,NL,PRO,PRO,,3,,Providence Grays,Messer Street Grounds,,PRO
1883,AA,PT1,PIT,,7,,Pittsburg Alleghenys,Exposition Park I,,PIT
1883,AA,SL4,STL,,2,,St. Louis Browns,Sportsman's Park I,,STL
1884,UA,ALT,ALT,,10,,Altoona Mountain City,,,ALT
1884,NL,BFN,BUF,,3,N,Buffalo Bisons,Olympic Park I,,BUF
1884,AA,BL2,BLO,,6,N,Baltimore Orioles,Oriole Park,,BAL
1884,UA,BLU,BLU,,4,,Baltimore Monumentals,,,BLU
1884,AA,BR3,LAD,,9,N,Brooklyn Atlantics,Washington Park I,,BRO
1884,NL,BSN,ATL,,2,N,Boston Beaneaters,South End Grounds I,,BSN
1884,UA,BSU,BRD,,5,,Boston Reds,,,BOS
1884,NL,CHN,CHC,,5,N,Chicago White Stockings,Lake Front Park II,,CHC
1884,UA,CHU,CPI,,6,,Chicago/Pittsburgh (Union League),,,CPI
1884,NL,CL2,CBL,,7,N,Cleveland Blues,Kennard Street Park,,CLV
1884,AA,CL5,CBK,,2,N,Columbus Buckeyes,Recreation Park I,,COL
1884,AA,CN2,CIN,,5,N,Cincinnati Red Stockings,League Park I in Cincinnati,,CIN
1884,UA,CNU,COR,,3,,Cincinnati Outlaw Reds,,,COR
1884,NL,DTN,DTN,,8,N,Detroit Wolverines,Recreation Park,,DTN
1884,AA,IN2,IHO,,12,N,Indianapolis Hoosiers,Seventh Street Park,,IND
1884,UA,KCU,KCU,,11,,Kansas City Cowboys,,,KCC
1884,AA,LS2,LOU,,3,N,Louisville Eclipse,Eclipse Park I,,LOU
1884,UA,MLU,MLU,,2,,Milwaukee Brewers,,,MIL
1884,NL,NY1,SFG,,4,N,New York Gothams,Polo Grounds I,,NYG
1884,AA,NY4,NYP,,1,N,New York Metropolitans,Polo Grounds I West Diamond,,NYP
1884,AA,PH4,PHA,,7,N,Philadelphia Athletics,Jefferson Street Grounds,,PHA
1884,NL,PHI,PHI,,6,N,Philadelphia Quakers,Recreation Park,,PHI
1884,UA,PHU,PHK,,8,,Philadelphia Keystones,,,PHK
1884,NL,PRO,PRO,,1,Y,Providence Grays,Messer Street Grounds,,PRO
1884,AA,PT1,PIT,,11,N,Pittsburg Alleghenys,Recreation Park,,PIT
1884,AA,RIC,RIC,,10,N,Richmond Virginians,Allen Pasture,,RIC
1884,AA,SL4,STL,,4,N,St. Louis Browns,Sportsman's Park I,,STL
1884,UA,SLU,SLM,,1,,St. Louis Maroons,,,SLM
1884,UA,SPU,STP,,9,,St. Paul White Caps,,,STP
1884,AA,TL1,TOL,,8,N,Toledo Blue Stockings,League Park,,TOL
1884,UA,WIL,WIL,,12,,Wilmington Quicksteps,,,WIL
1884,AA,WS7,WST,,13,N,Washington Nationals,Athletic Park,,WAS
1884,UA,WSU,WNA,,7,,Washington Nationals,,,WHS
1885,NL,BFN,BUF,,7,N,Buffalo Bisons,Olympic Park I,,BUF
1885,AA,BL2,BLO,,8,N,Baltimore Orioles,Oriole Park,,BAL
1885,AA,BR3,LAD,,5,N,Brooklyn Grays,Washington Park I,,BRO
1885,NL,BSN,ATL,,5,N,Boston Beaneaters,South End Grounds I,,BSN
1885,NL,CHN,CHC,,1,N,Chicago White Stockings,West Side Park I,,CHC
1885,AA,CN2,CIN,,2,N,Cincinnati Red Stockings,League Park I in Cincinnati,,CIN
1885,NL,DTN,DTN,,6,N,Detroit Wolverines,Recreation Park,,DTN
1885,AA,LS2,LOU,,6,N,Louisville Colonels,Eclipse Park I,,LOU
1885,NL,NY1,SFG,,2,N,New York Giants,Polo Grounds I,,NYG
