yearid,lgid,teamid,franchid,divid,rank,wswin,name,park,attendance,teamidbr
1921,AL,CLE,CLE,,2,N,Cleveland Indians,League Park II,748705,CLE
1921,AL,DET,DET,,6,N,Detroit Tigers,Navin Field,661527,DET
1921,NL,NY1,SFG,,1,Y,New York Giants,Polo Grounds IV,973477,NYG
1921,AL,NYA,NYY,,1,N,New York Yankees,Polo Grounds IV,1230696,NYY
1921,AL,PHA,OAK,,8,N,Philadelphia Athletics,Shibe Park,344430,PHA
1921,NL,PHI,PHI,,8,N,Philadelphia Phillies,Baker Bowl,273961,PHI
1921,NL,PIT,PIT,,2,N,Pittsburgh Pirates,Forbes Field,701567,PIT
1921,AL,SLA,BAL,,3,N,St. Louis Browns,Sportsman's Park IV,355978,SLB
1921,NL,SLN,STL,,3,N,St. Louis Cardinals,Sportsman's Park IV,384773,STL
1921,AL,WS1,MIN,,4,N,Washington Senators,Griffith Stadium I,456069,WSH
1922,AL,BOS,BOS,,8,N,Boston Red Sox,Fenway Park I,259184,BOS
1922,NL,BRO,LAD,,6,N,Brooklyn Robins,Ebbets Field,498865,BRO
1922,NL,BSN,ATL,,8,N,Boston Braves,Braves Field,167965,BSN
1922,AL,CHA,CHW,,5,N,Chicago White Sox,Comiskey Park,602860,CHW
1922,NL,CHN,CHC,,5,N,Chicago Cubs,Wrigley Field,542283,CHC
1922,NL,CIN,CIN,,2,N,Cincinnati Reds,Crosley Field,493754,CIN
1922,AL,CLE,CLE,,4,N,Cleveland Indians,League Park II,528145,CLE
1922,AL,DET,DET,,3,N,Detroit Tigers,Navin Field,861206,DET
1922,NL,NY1,SFG,,1,Y,New York Giants,Polo Grounds IV,945809,NYG
1922,AL,NYA,NYY,,1,N,New York Yankees,Polo Grounds IV,1026134,NYY
1922,AL,PHA,OAK,,7,N,Philadelphia Athletics,Shibe Park,425356,PHA
1922,NL,PHI,PHI,,7,N,Philadelphia Phillies,Baker Bowl,232471,PHI
1922,NL,PIT,PIT,,3,N,Pittsburgh Pirates,Forbes Field,523675,PIT
1922,AL,SLA,BAL,,2,N,St. Louis Browns,Sportsman's Park IV,712918,SLB
1922,NL,SLN,STL,,3,N,St. Louis Cardinals,Sportsman's Park IV,536998,STL
1922,AL,WS1,MIN,,6,N,Washington Senators,Griffith Stadium I,458552,WSH
1923,AL,BOS,BOS,,8,N,Boston Red Sox,Fenway Park I,229688,BOS
1923,NL,BRO,LAD,,6,N,Brooklyn Robins,Ebbets Field,564666,BRO
1923,NL,BSN,ATL,,7,N,Boston Braves,Braves Field,227802,BSN
1923,AL,CHA,CHW,,7,N,Chicago White Sox,Comiskey Park,573778,CHW
1923,NL,CHN,CHC,,4,N,Chicago Cubs,Wrigley Field,703705,CHC
1923,NL,CIN,CIN,,2,N,Cincinnati Reds,Crosley Field,575063,CIN
1923,AL,CLE,CLE,,3,N,Cleveland Indians,League Park II,558856,CLE
1923,AL,DET,DET,,2,N,Detroit Tigers,Navin Field,911377,DET
1923,NL,NY1,SFG,,1,N,New York Giants,Polo Grounds IV,820780,NYG
1923,AL,NYA,NYY,,1,Y,New York Yankees,Yankee Stadium I,1007066,NYY
1923,AL,PHA,OAK,,6,N,Philadelphia Athletics,Shibe Park,534122,PHA
1923,NL,PHI,PHI,,8,N,Philadelphia Phillies,Baker Bowl,228168,PHI
1923,NL,PIT,PIT,,3,N,Pittsburgh Pirates,Forbes Field,611082,PIT
1923,AL,SLA,BAL,,5,N,St. Louis Browns,Sportsman's Park IV,430296,SLB
1923,NL,SLN,STL,,5,N,St. Louis Cardinals,Sportsman's Park IV,338551,STL
1923,AL,WS1,MIN,,4,N,Washington Senators,Griffith Stadium I,357406,WSH
1924,AL,BOS,BOS,,7,N,Boston Red Sox,Fenway Park I,448556,BOS
1924,NL,BRO,LAD,,2,N,Brooklyn Robins,Ebbets Field,818883,BRO
1924,NL,BSN,ATL,,8,N,Boston Braves,Braves Field,177478,BSN
1924,AL,CHA,CHW,,8,N,Chicago White Sox,Comiskey Park,606658,CHW
1924,NL,CHN,CHC,,5,N,Chicago Cubs,Wrigley Field,716922,CHC
1924,NL,CIN,CIN,,4,N,Cincinnati Reds,Crosley Field,473707,CIN
1924,AL,CLE,CLE,,6,N,Cleveland Indians,League Park II,481905,CLE
1924,AL,DET,DET,,3,N,Detroit Tigers,Navin Field,1015136,DET
1924,NL,NY1,SFG,,1,N,New York Giants,Polo Grounds IV,844068,NYG
1924,AL,NYA,NYY,,2,N,New York Yankees,Yankee Stadium I,1053533,NYY
1924,AL,PHA,OAK,,5,N,Philadelphia Athletics,Shibe Park,531992,PHA
1924,NL,PHI,PHI,,7,N,Philadelphia Phillies,Baker Bowl,299818,PHI
1924,NL,PIT,PIT,,3,N,Pittsburgh Pirates,Forbes Field,736883,PIT
1924,AL,SLA,BAL,,4,N,St. Louis Browns,Sportsman's Park IV,533349,SLB
1924,NL,SLN,STL,,6,N,St. Louis Cardinals,Sportsman's Park IV,272885,STL
1924,AL,WS1,MIN,,1,Y,Washington Senators,Griffith Stadium I,584310,WSH
1925,AL,BOS,BOS,,8,N,Boston Red Sox,Fenway Park I,267782,BOS
1925,NL,BRO,LAD,,6,N,Brooklyn Robins,Ebbets Field,659435,BRO
1925,NL,BSN,ATL,,5,N,Boston Braves,Braves Field,313528,BSN
1925,AL,CHA,CHW,,5,N,Chicago White Sox,Comiskey Park,832231,CHW
1925,NL,CHN,CHC,,8,N,Chicago Cubs,Wrigley Field,622610,CHC
1925,NL,CIN,CIN,,3,N,Cincinnati Reds,Crosley Field,464920,CIN
1925,AL,CLE,CLE,,6,N,Cleveland Indians,League Park II,419005,CLE
1925,AL,DET,DET,,4,N,Detroit Tigers,Navin Field,820766,DET
1925,NL,NY1,SFG,,2,N,New York Giants,Polo Grounds IV,778993,NYG
1925,AL,NYA,NYY,,7,N,New York Yankees,Yankee Stadium I,697267,NYY
1925,AL,PHA,OAK,,2,N,Philadelphia Athletics,Shibe Park,869703,PHA
1925,NL,PHI,PHI,,6,N,Philadelphia Phillies,Baker Bowl,304905,PHI
1925,NL,PIT,PIT,,1,Y,Pittsburgh Pirates,Forbes Field,804354,PIT
1925,AL,SLA,BAL,,3,N,St. Louis Browns,Sportsman's Park IV,462898,SLB
1925,NL,SLN,STL,,4,N,St. Louis Cardinals,Sportsman's Park IV,404959,STL
1925,AL,WS1,MIN,,1,N,Washington Senators,Griffith Stadium I,817199,WSH
1926,AL,BOS,BOS,,8,N,Boston Red Sox,Fenway Park I,285155,BOS
1926,NL,BRO,LAD,,6,N,Brooklyn Robins,Ebbets Field,650819,BRO
1926,NL,BSN,ATL,,7,N,Boston Braves,Braves Field,303598,BSN
1926,AL,CHA,CHW,,5,N,Chicago White Sox,Comiskey Park,710339,CHW
1926,NL,CHN,CHC,,4,N,Chicago Cubs,Wrigley Field,885063,CHC
1926,NL,CIN,CIN,,2,N,Cincinnati Reds,Crosley Field,672987,CIN
1926,AL,CLE,CLE,,2,N,Cleveland Indians,League Park II,627426,CLE
1926,AL,DET,DET,,6,N,Detroit Tigers,Navin Field,711914,DET
1926,NL,NY1,SFG,,5,N,New York Giants,Polo Grounds IV,700362,NYG
1926,AL,NYA,NYY,,1,N,New York Yankees,Yankee Stadium I,1027675,NYY
1926,AL,PHA,OAK,,3,N,Philadelphia Athletics,Shibe Park,714508,PHA
1926,NL,PHI,PHI,,8,N,Philadelphia Phillies,Baker Bowl,240600,PHI
1926,NL,PIT,PIT,,3,N,Pittsburgh Pirates,Forbes Field,798542,PIT
1926,AL,SLA,BAL,,7,N,St. Louis Browns,Sportsman's Park IV,283986,SLB
1926,NL,SLN,STL,,1,Y,St. Louis Cardinals,Sportsman's Park IV,668428,STL
1926,AL,WS1,MIN,,4,N,Washington Senators,Griffith Stadium I,551580,WSH
1927,AL,BOS,BOS,,8,N,Boston Red Sox,Fenway Park I,305275,BOS
1927,NL,BRO,LAD,,6,N,Brooklyn Robins,Ebbets Field,637230,BRO
1927,NL,BSN,ATL,,7,N,Boston Braves,Braves Field,288685,BSN
1927,AL,CHA,CHW,,5,N,Chicago White Sox,Comiskey Park,614423,CHW
1927,NL,CHN,CHC,,4,N,Chicago Cubs,Wrigley Field,1159168,CHC
1927,NL,CIN,CIN,,5,N,Cincinnati Reds,Crosley Field,442164,CIN
1927,AL,CLE,CLE,,6,N,Cleveland Indians,League Park II,373138,CLE
1927,AL,DET,DET,,4,N,Detroit Tigers,Navin Field,773716,DET
1927,NL,NY1,SFG,,3,N,New York Giants,Polo Grounds IV,858190,NYG
1927,AL,NYA,NYY,,1,Y,New York Yankees,Yankee Stadium I,1164015,NYY
1927,AL,PHA,OAK,,2,N,Philadelphia Athletics,Shibe Park,605529,PHA
1927,NL,PHI,PHI,,8,N,Philadelphia Phillies,Baker Bowl,305420,PHI
1927,NL,PIT,PIT,,1,N,Pittsburgh Pirates,Forbes Field,869720,PIT
1927,AL,SLA,BAL,,7,N,St. Louis Browns,Sportsman's Park IV,247879,SLB
1927,NL,SLN,STL,,2,N,St. Louis Cardinals,Sportsman's Park IV,749340,STL
1927,AL,WS1,MIN,,3,N,Washington Senators,Griffith Stadium I,528976,WSH
1928,AL,BOS,BOS,,8,N,Boston Red Sox,Fenway Park I,396920,BOS
1928,NL,BRO,LAD,,6,N,Brooklyn Robins,Ebbets Field,664863,BRO
1928,NL,BSN,ATL,,7,N,Boston Braves,Braves Field,227001,BSN
1928,AL,CHA,CHW,,5,N,Chicago White Sox,Comiskey Park,494152,CHW
1928,NL,CHN,CHC,,3,N,Chicago Cubs,Wrigley Field,1143740,CHC
1928,NL,CIN,CIN,,5,N,Cincinnati Reds,Crosley Field,490490,CIN
1928,AL,CLE,CLE,,7,N,Cleveland Indians,League Park II,375907,CLE
1928,AL,DET,DET,,6,N,Detroit Tigers,Navin Field,474323,DET
1928,NL,NY1,SFG,,2,N,New York Giants,Polo Grounds IV,916191,NYG
1928,AL,NYA,NYY,,1,Y,New York Yankees,Yankee Stadium I,1072132,NYY
1928,AL,PHA,OAK,,2,N,Philadelphia Athletics,Shibe Park,689756,PHA
1928,NL,PHI,PHI,,8,N,Philadelphia Phillies,Baker Bowl,182168,PHI
1928,NL,PIT,PIT,,4,N,Pittsburgh Pirates,Forbes Field,495070,PIT
1928,AL,SLA,BAL,,3,N,St. Louis Browns,Sportsman's Park IV,339497,SLB
1928,NL,SLN,STL,,1,N,St. Louis Cardinals,Sportsman's Park IV,761574,STL
1928,AL,WS1,MIN,,4,N,Washington Senators,Griffith Stadium I,378501,WSH
1929,AL,BOS,BOS,,8,N,Boston Red Sox,Fenway Park I,394620,BOS
1929,NL,BRO,LAD,,6,N,Brooklyn Robins,Ebbets Field,731886,BRO
1929,NL,BSN,ATL,,8,N,Boston Braves,Braves Field,372351,BSN
1929,AL,CHA,CHW,,7,N,Chicago White Sox,Comiskey Park,426795,CHW
1929,NL,CHN,CHC,,1,N,Chicago Cubs,Wrigley Field,1485166,CHC
1929,NL,CIN,CIN,,7,N,Cincinnati Reds,Crosley Field,295040,CIN
1929,AL,CLE,CLE,,3,N,Cleveland Indians,League Park II,536210,CLE
1929,AL,DET,DET,,6,N,Detroit Tigers,Navin Field,869318,DET
1929,NL,NY1,SFG,,3,N,New York Giants,Polo Grounds IV,868806,NYG
1929,AL,NYA,NYY,,2,N,New York Yankees,Yankee Stadium I,960148,NYY
1929,AL,PHA,OAK,,1,Y,Philadelphia Athletics,Shibe Park,839176,PHA
1929,NL,PHI,PHI,,5,N,Philadelphia Phillies,Baker Bowl,281200,PHI
1929,NL,PIT,PIT,,2,N,Pittsburgh Pirates,Forbes Field,491377,PIT
1929,AL,SLA,BAL,,4,N,St. Louis Browns,Sportsman's Park IV,280697,SLB
1929,NL,SLN,STL,,4,N,St. Louis Cardinals,Sportsman's Park IV,399887,STL
1929,AL,WS1,MIN,,5,N,Washington Senators,Griffith Stadium I,355506,WSH
1930,AL,BOS,BOS,,8,N,Boston Red Sox,Fenway Park I,444045,BOS
1930,NL,BRO,LAD,,4,N,Brooklyn Robins,Ebbets Field,1097329,BRO
1930,NL,BSN,ATL,,6,N,Boston Braves,Braves Field,464835,BSN
1930,AL,CHA,CHW,,7,N,Chicago White Sox,Comiskey Park,406123,CHW
1930,NL,CHN,CHC,,2,N,Chicago Cubs,Wrigley Field,1463624,CHC
1930,NL,CIN,CIN,,7,N,Cincinnati Reds,Crosley Field,386727,CIN
1930,AL,CLE,CLE,,4,N,Cleveland Indians,League Park II,528657,CLE
1930,AL,DET,DET,,5,N,Detroit Tigers,Navin Field,649450,DET
1930,NL,NY1,SFG,,3,N,New York Giants,Polo Grounds IV,868714,NYG
1930,AL,NYA,NYY,,3,N,New York Yankees,Yankee Stadium I,1169230,NYY
1930,AL,PHA,OAK,,1,Y,Philadelphia Athletics,Shibe Park,721663,PHA
1930,NL,PHI,PHI,,8,N,Philadelphia Phillies,Baker Bowl,299007,PHI
1930,NL,PIT,PIT,,5,N,Pittsburgh Pirates,Forbes Field,357795,PIT
1930,AL,SLA,BAL,,6,N,St. Louis Browns,Sportsman's Park IV,152088,SLB
1930,NL,SLN,STL,,1,N,St. Louis Cardinals,Sportsman's Park IV,508501,STL
1930,AL,WS1,MIN,,2,N,Washington Senators,Griffith Stadium I,614474,WSH
1931,AL,BOS,BOS,,6,N,Boston Red Sox,Fenway Park I,350975,BOS
1931,NL,BRO,LAD,,4,N,Brooklyn Robins,Ebbets Field,753133,BRO
1931,NL,BSN,ATL,,7,N,Boston Braves,Braves Field,515005,BSN
1931,AL,CHA,CHW,,8,N,Chicago White Sox,Comiskey Park,403550,CHW
1931,NL,CHN,CHC,,3,N,Chicago Cubs,Wrigley Field,1086422,CHC
1931,NL,CIN,CIN,,8,N,Cincinnati Reds,Crosley Field,263316,CIN
1931,AL,CLE,CLE,,4,N,Cleveland Indians,League Park II,483027,CLE
1931,AL,DET,DET,,7,N,Detroit Tigers,Navin Field,434056,DET
1931,NL,NY1,SFG,,2,N,New York Giants,Polo Grounds IV,812163,NYG
1931,AL,NYA,NYY,,2,N,New York Yankees,Yankee Stadium I,912437,NYY
1931,AL,PHA,OAK,,1,N,Philadelphia Athletics,Shibe Park,627464,PHA
1931,NL,PHI,PHI,,6,N,Philadelphia Phillies,Baker Bowl,284849,PHI
1931,NL,PIT,PIT,,5,N,Pittsburgh Pirates,Forbes Field,260392,PIT
1931,AL,SLA,BAL,,5,N,St. Louis Browns,Sportsman's Park IV,179126,SLB
1931,NL,SLN,STL,,1,Y,St. Louis Cardinals,Sportsman's Park IV,608535,STL
1931,AL,WS1,MIN,,3,N,Washington Senators,Griffith Stadium I,492657,WSH
1932,AL,BOS,BOS,,8,N,Boston Red Sox,Fenway Park I,182150,BOS
1932,NL,BRO,LAD,,3,N,Brooklyn Dodgers,Ebbets Field,681827,BRO
1932,NL,BSN,ATL,,5,N,Boston Braves,Braves Field,507606,BSN
1932,AL,CHA,CHW,,7,N,Chicago White Sox,Comiskey Park,233198,CHW
1932,NL,CHN,CHC,,1,N,Chicago Cubs,Wrigley Field,974688,CHC
1932,NL,CIN,CIN,,8,N,Cincinnati Reds,Crosley Field,356950,CIN
1932,AL,CLE,CLE,,4,N,Cleveland Indians,League Park II/Cleveland Stadium,468953,CLE
1932,AL,DET,DET,,5,N,Detroit Tigers,Navin Field,397157,DET
1932,NL,NY1,SFG,,6,N,New York Giants,Polo Grounds IV,484868,NYG
1932,AL,NYA,NYY,,1,Y,New York Yankees,Yankee Stadium I,962320,NYY
1932,AL,PHA,OAK,,2,N,Philadelphia Athletics,Shibe Park,405500,PHA
1932,NL,PHI,PHI,,4,N,Philadelphia Phillies,Baker Bowl,268914,PHI
1932,NL,PIT,PIT,,2,N,Pittsburgh Pirates,Forbes Field,287262,PIT
1932,AL,SLA,BAL,,6,N,St. Louis Browns,Sportsman's Park IV,112558,SLB
1932,NL,SLN,STL,,6,N,St. Louis Cardinals,Sportsman's Park IV,279219,STL
1932,AL,WS1,MIN,,3,N,Washington Senators,Griffith Stadium I,371396,WSH
1933,AL,BOS,BOS,,7,N,Boston Red Sox,Fenway Park I,268715,BOS
1933,NL,BRO,LAD,,6,N,Brooklyn Dodgers,Ebbets Field,526815,BRO
1933,NL,BSN,ATL,,4,N,Boston Braves,Braves Field,517803,BSN
1933,AL,CHA,CHW,,6,N,Chicago White Sox,Comiskey Park,397789,CHW
1933,NL,CHN,CHC,,3,N,Chicago Cubs,Wrigley Field,594112,CHC
1933,NL,CIN,CIN,,8,N,Cincinnati Reds,Crosley Field,218281,CIN
1933,AL,CLE,CLE,,4,N,Cleveland Indians,League Park II/Cleveland Stadium,387936,CLE
1933,AL,DET,DET,,5,N,Detroit Tigers,Navin Field,320972,DET
1933,NL,NY1,SFG,,1,Y,New York Giants,Polo Grounds IV,604471,NYG
1933,AL,NYA,NYY,,2,N,New York Yankees,Yankee Stadium I,728014,NYY
1933,AL,PHA,OAK,,3,N,Philadelphia Athletics,Shibe Park,297138,PHA
1933,NL,PHI,PHI,,7,N,Philadelphia Phillies,Baker Bowl,156421,PHI
1933,NL,PIT,PIT,,2,N,Pittsburgh Pirates,Forbes Field,288747,PIT
1933,AL,SLA,BAL,,8,N,St. Louis Browns,Sportsman's Park IV,88113,SLB
1933,NL,SLN,STL,,5,N,St. Louis Cardinals,Sportsman's Park IV,256171,STL
1933,AL,WS1,MIN,,1,N,Washington Senators,Griffith Stadium I,437533,WSH
1934,AL,BOS,BOS,,4,N,Boston Red Sox,Fenway Park II,610640,BOS
1934,NL,BRO,LAD,,6,N,Brooklyn Dodgers,Ebbets Field,434188,BRO
1934,NL,BSN,ATL,,4,N,Boston Braves,Braves Field,303205,BSN
1934,AL,CHA,CHW,,8,N,Chicago White Sox,Comiskey Park,236559,CHW
1934,NL,CHN,CHC,,3,N,Chicago Cubs,Wrigley Field,707525,CHC
1934,NL,CIN,CIN,,8,N,Cincinnati Reds,Crosley Field,206773,CIN
1934,AL,CLE,CLE,,3,N,Cleveland Indians,League Park II/Cleveland Stadium,391338,CLE
1934,AL,DET,DET,,1,N,Detroit Tigers,Navin Field,919161,DET
1934,NL,NY1,SFG,,2,N,New York Giants,Polo Grounds IV,730851,NYG
1934,AL,NYA,NYY,,2,N,New York Yankees,Yankee Stadium I,854682,NYY
1934,AL,PHA,OAK,,5,N,Philadelphia Athletics,Shibe Park,305847,PHA
1934,NL,PHI,PHI,,7,N,Philadelphia Phillies,Baker Bowl,169885,PHI
1934,NL,PIT,PIT,,5,N,Pittsburgh Pirates,Forbes Field,322622,PIT
1934,AL,SLA,BAL,,6,N,St. Louis Browns,Sportsman's Park IV,115305,SLB
1934,NL,SLN,STL,,1,Y,St. Louis Cardinals,Sportsman's Park IV,325056,STL
1934,AL,WS1,MIN,,7,N,Washington Senators,Griffith Stadium I,330074,WSH
1935,AL,BOS,BOS,,4,N,Boston Red Sox,Fenway Park II,558568,BOS
1935,NL,BRO,LAD,,5,N,Brooklyn Dodgers,Ebbets Field,470517,BRO
1935,NL,BSN,ATL,,8,N,Boston Braves,Braves Field,232754,BSN
1935,AL,CHA,CHW,,5,N,Chicago White Sox,Comiskey Park,470281,CHW
1935,NL,CHN,CHC,,1,N,Chicago Cubs,Wrigley Field,692604,CHC
1935,NL,CIN,CIN,,6,N,Cincinnati Reds,Crosley Field,448247,CIN
1935,AL,CLE,CLE,,3,N,Cleveland Indians,League Park II/Cleveland Stadium,397615,CLE
1935,AL,DET,DET,,1,Y,Detroit Tigers,Navin Field,1034929,DET
1935,NL,NY1,SFG,,3,N,New York Giants,Polo Grounds IV,748748,NYG
1935,AL,NYA,NYY,,2,N,New York Yankees,Yankee Stadium I,657508,NYY
1935,AL,PHA,OAK,,8,N,Philadelphia Athletics,Shibe Park,233173,PHA
1935,NL,PHI,PHI,,7,N,Philadelphia Phillies,Baker Bowl,205470,PHI
1935,NL,PIT,PIT,,4,N,Pittsburgh Pirates,Forbes Field,352885,PIT
1935,AL,SLA,BAL,,7,N,St. Louis Browns,Sportsman's Park IV,80922,SLB
1935,NL,SLN,STL,,2,N,St. Louis Cardinals,Sportsman's Park IV,506084,STL
1935,AL,WS1,MIN,,6,N,Washington Senators,Griffith Stadium I,255011,WSH
1936,AL,BOS,BOS,,6,N,Boston Red Sox,Fenway Park II,626895,BOS
1936,NL,BRO,LAD,,7,N,Brooklyn Dodgers,Ebbets Field,489618,BRO
1936,NL,BSN,ATL,,6,N,Boston Bees,Braves Field,340585,BSN
1936,AL,CHA,CHW,,4,N,Chicago White Sox,Comiskey Park,440810,CHW
1936,NL,CHN,CHC,,2,N,Chicago Cubs,Wrigley Field,699370,CHC
1936,NL,CIN,CIN,,5,N,Cincinnati Reds,Crosley Field,466345,CIN
1936,AL,CLE,CLE,,5,N,Cleveland Indians,League Park II/Cleveland Stadium,500391,CLE
1936,AL,DET,DET,,2,N,Detroit Tigers,Navin Field,875948,DET
1936,NL,NY1,SFG,,1,N,New York Giants,Polo Grounds IV,837952,NYG
1936,AL,NYA,NYY,,1,Y,New York Yankees,Yankee Stadium I,976913,NYY
1936,AL,PHA,OAK,,8,N,Philadelphia Athletics,Shibe Park,285173,PHA
1936,NL,PHI,PHI,,8,N,Philadelphia Phillies,Baker Bowl,249219,PHI
1936,NL,PIT,PIT,,4,N,Pittsburgh Pirates,Forbes Field,372524,PIT
1936,AL,SLA,BAL,,7,N,St. Louis Browns,Sportsman's Park IV,93267,SLB
1936,NL,SLN,STL,,2,N,St. Louis Cardinals,Sportsman's Park IV,448078,STL
1936,AL,WS1,MIN,,3,N,Washington Senators,Griffith Stadium I,379525,WSH
1937,AL,BOS,BOS,,5,N,Boston Red Sox,Fenway Park II,559659,BOS
1937,NL,BRO,LAD,,6,N,Brooklyn Dodgers,Ebbets Field,482481,BRO
1937,NL,BSN,ATL,,5,N,Boston Bees,Braves Field,385339,BSN
1937,AL,CHA,CHW,,3,N,Chicago White Sox,Comiskey Park,589245,CHW
1937,NL,CHN,CHC,,2,N,Chicago Cubs,Wrigley Field,895020,CHC
1937,NL,CIN,CIN,,8,N,Cincinnati Reds,Crosley Field,411221,CIN
1937,AL,CLE,CLE,,4,N,Cleveland Indians,League Park II/Cleveland Stadium,564849,CLE
1937,AL,DET,DET,,2,N,Detroit Tigers,Navin Field,1072276,DET
1937,NL,NY1,SFG,,1,N,New York Giants,Polo Grounds IV,926887,NYG
1937,AL,NYA,NYY,,1,Y,New York Yankees,Yankee Stadium I,998148,NYY
1937,AL,PHA,OAK,,7,N,Philadelphia Athletics,Shibe Park,430738,PHA
1937,NL,PHI,PHI,,7,N,Philadelphia Phillies,Baker Bowl,212790,PHI
1937,NL,PIT,PIT,,3,N,Pittsburgh Pirates,Forbes Field,459679,PIT
1937,AL,SLA,BAL,,8,N,St. Louis Browns,Sportsman's Park IV,123121,SLB
1937,NL,SLN,STL,,4,N,St. Louis Cardinals,Sportsman's Park IV,430811,STL
1937,AL,WS1,MIN,,6,N,Washington Senators,Griffith Stadium I,397799,WSH
1938,AL,BOS,BOS,,2,N,Boston Red Sox,Fenway Park II,646459,BOS
1938,NL,BRO,LAD,,7,N,Brooklyn Dodgers,Ebbets Field,663087,BRO
1938,NL,BSN,ATL,,5,N,Boston Bees,Braves Field,341149,BSN
1938,AL,CHA,CHW,,6,N,Chicago White Sox,Comiskey Park,338278,CHW
1938,NL,CHN,CHC,,1,N,Chicago Cubs,Wrigley Field,951640,CHC
1938,NL,CIN,CIN,,4,N,Cincinnati Reds,Crosley Field,706756,CIN
1938,AL,CLE,CLE,,3,N,Cleveland Indians,League Park II/Cleveland Stadium,652006,CLE
1938,AL,DET,DET,,4,N,Detroit Tigers,Briggs Stadium,799557,DET
1938,NL,NY1,SFG,,3,N,New York Giants,Polo Grounds IV,799633,NYG
1938,AL,NYA,NYY,,1,Y,New York Yankees,Yankee Stadium I,970916,NYY
1938,AL,PHA,OAK,,8,N,Philadelphia Athletics,Shibe Park,385357,PHA
1938,NL,PHI,PHI,,8,N,Philadelphia Phillies,Baker Bowl/Shibe Park,166111,PHI
1938,NL,PIT,PIT,,2,N,Pittsburgh Pirates,Forbes Field,641033,PIT
1938,AL,SLA,BAL,,7,N,St. Louis Browns,Sportsman's Park IV,130417,SLB
1938,NL,SLN,STL,,6,N,St. Louis Cardinals,Sportsman's Park IV,291418,STL
1938,AL,WS1,MIN,,5,N,Washington Senators,Griffith Stadium I,522694,WSH
1939,AL,BOS,BOS,,2,N,Boston Red Sox,Fenway Park II,573070,BOS
1939,NL,BRO,LAD,,3,N,Brooklyn Dodgers,Ebbets Field,955668,BRO
1939,NL,BSN,ATL,,7,N,Boston Bees,Braves Field,285994,BSN
1939,AL,CHA,CHW,,4,N,Chicago White Sox,Comiskey Park,594104,CHW
1939,NL,CHN,CHC,,4,N,Chicago Cubs,Wrigley Field,726663,CHC
1939,NL,CIN,CIN,,1,N,Cincinnati Reds,Crosley Field,981443,CIN
1939,AL,CLE,CLE,,3,N,Cleveland Indians,League Park II/Cleveland Stadium,563926,CLE
1939,AL,DET,DET,,5,N,Detroit Tigers,Briggs Stadium,836279,DET
1939,NL,NY1,SFG,,5,N,New York Giants,Polo Grounds IV,702457,NYG
1939,AL,NYA,NYY,,1,Y,New York Yankees,Yankee Stadium I,859785,NYY
1939,AL,PHA,OAK,,7,N,Philadelphia Athletics,Shibe Park,395022,PHA
1939,NL,PHI,PHI,,8,N,Philadelphia Phillies,Shibe Park,277973,PHI
1939,NL,PIT,PIT,,6,N,Pittsburgh Pirates,Forbes Field,376734,PIT
1939,AL,SLA,BAL,,8,N,St. Louis Browns,Sportsman's Park IV,109159,SLB
1939,NL,SLN,STL,,2,N,St. Louis Cardinals,Sportsman's Park IV,400245,STL
1939,AL,WS1,MIN,,6,N,Washington Senators,Griffith Stadium I,339257,WSH
1940,AL,BOS,BOS,,4,N,Boston Red Sox,Fenway Park II,716234,BOS
1940,NL,BRO,LAD,,2,N,Brooklyn Dodgers,Ebbets Field,975978,BRO
1940,NL,BSN,ATL,,7,N,Boston Bees,Braves Field,241616,BSN
1940,AL,CHA,CHW,,4,N,Chicago White Sox,Comiskey Park,660336,CHW
1940,NL,CHN,CHC,,5,N,Chicago Cubs,Wrigley Field,534878,CHC
1940,NL,CIN,CIN,,1,Y,Cincinnati Reds,Crosley Field,850180,CIN
1940,AL,CLE,CLE,,2,N,Cleveland Indians,League Park II/Cleveland Stadium,902576,CLE
1940,AL,DET,DET,,1,N,Detroit Tigers,Briggs Stadium,1112693,DET
1940,NL,NY1,SFG,,6,N,New York Giants,Polo Grounds IV,747852,NYG
1940,AL,NYA,NYY,,3,N,New York Yankees,Yankee Stadium I,988975,NYY
1940,AL,PHA,OAK,,8,N,Philadelphia Athletics,Shibe Park,432145,PHA
1940,NL,PHI,PHI,,8,N,Philadelphia Phillies,Shibe Park,207177,PHI
1940,NL,PIT,PIT,,4,N,Pittsburgh Pirates,Forbes Field,507934,PIT
1940,AL,SLA,BAL,,6,N,St. Louis Browns,Sportsman's Park IV,239591,SLB
1940,NL,SLN,STL,,3,N,St. Louis Cardinals,Sportsman's Park IV,324078,STL
1940,AL,WS1,MIN,,7,N,Washington Senators,Griffith Stadium I,381241,WSH
1941,AL,BOS,BOS,,2,N,Boston Red Sox,Fenway Park II,718497,BOS
1941,NL,BRO,LAD,,1,N,Brooklyn Dodgers,Ebbets Field,1214910,BRO
1941,NL,BSN,ATL,,7,N,Boston Braves,Braves Field,263680,BSN
1941,AL,CHA,CHW,,3,N,Chicago White Sox,Comiskey Park,677077,CHW
1941,NL,CHN,CHC,,6,N,Chicago Cubs,Wrigley Field,545159,CHC
1941,NL,CIN,CIN,,3,N,Cincinnati Reds,Crosley Field,643513,CIN
1941,AL,CLE,CLE,,4,N,Cleveland Indians,League Park II/Cleveland Stadium,745948,CLE
